전원의  행진	promenade
재심	(再審) reconsideration, rehearing, retrial, review
재심문	reexamination
재심사	(再審査) NULL
재심하다	(再審) rehear, retry, review
재안수	reordination
재앙	(災殃) a bale, a curse, a disaster
재액	deuce
재야	(在野) the opposition party
재야인사	(在野人士) member of the opposition
재양도하다	reconvery
재양틀	tenter
재양틀의 갈고리	tenterhook
재에 묻다	bank
재연	reenact a scene, rerun
재연기	(再延期) NULL
재연소	afterburning, reheat, reheating
재연시키다	rekindle
재연주	revivable
재연하다	(再演,再燃) re-act, re-present, reenact, replay
재열	recalescence
재열람	resurvey
재열람하다	reperuse
재염색제	reviver
재영화화 작품	remake
재외	(在外) NULL
재외사절	representative
재용	(財用) NULL
재우다	Put to sleep
재원	(財源) financial resources, funds
재원	(才媛) a literary woman with literary talents
재위	(在位) NULL
재위탁	reconsignment
재유행	resurrection
재유행	retro
재유행하다	revive
재음미	(再吟味) review
재음미	(再吟味) reperuse
재의	(再議-) ashy
재의	(再議-) cinerary
재의뢰	(再依賴) NULL
재의에 부치다	reconsider
재의하다	(再議) reconsider
재이용	(再利用) recycling
재이용	(再利用) reuse
재인상	reimpression
재인수	reassumption
재인식	(再認識) NULL
재일	(在日) NULL
재임	(在任) NULL
재임기간	inning
재임시키다	renominate
재임용	(再任用) NULL
재임용제	(再任用制) NULL
재입국	(再入國) reentry
재입대하다	reenlist
재입대하다	re-up
재입성	(再入城) NULL
재입수	reseizure
재입장	reentry
재입장권	pass check
재입학	(再入學) readmittance
재입학	(再入學) readmission
재자가인	(才子佳人) NULL
재자다병	(才子多病) NULL
재작년	(再昨年) The year before last
재잘 거리다	slop
재잘거리는	babbling
재잘거리다	chatter, gabble, jabber, rabble
재잘거림	chatter
재잘거림	jabber
재잘대다	to patter or clatter or go on and on about
재잘재잘	quackquack
재잘재잘 지껄이다	chipper
재잘재잘잘 지껄이는	bigmouthed
재장비되다	refit
재장악	(再掌握) NULL
재장전	reload
재장전하다	reload
재장전하다	recharge
재장탄	recharge
재재작년	(再再昨年) NULL
재저사이즈	jazzercise
재적개성	anima
재적용	reapplication
재점검	(再點檢) NULL
재점유	resumption
재점유	reseizure
재점유하다	resume
재접근	(再接近) NULL
재정	(財政) finances,economy
재정 법안	money bill
재정 법안	finance bill
재정 환율	a cross-exchange rate
재정가	financier
재정곤란	involvement
재정관	paymaster
재정국장	(財政局長) NULL
재정난	(財政難) NULL
재정돈	(再整頓) NULL
재정렬하다	realign
재정리	(再整理) rearrange
재정리하다	(再整理) readjust
재정립	(再正立) NULL
재정부	(財政部) NULL
재정비	(再整備) re-accouterment, re-supplying of arms
재정상	financially
재정인	umpire
재정재하다	rerefine
재정적	(財政的) NULL
재정적 독립	easy street
재정적으로	financially
재정적으로 애먹고 있는	impacted
재정적으로 원조하다	stake
재정적후원자	angel
재정지출	(財政支出) expenditures for national projects
재정하다	(裁定-) adjudicate, award, rule
재정한	arbitrate
재제의	reoffer
재제정	reenact
재제출	reoffer
재조림	reafforestation
재조립	(再組立) NULL
재조명	(再照明) NULL
재조사	(再調査) review
재조사	(再調査) reviewal
재조율	(再調律) NULL
재조인하다	re-sign
재조정	(再調整) rejig
재조정자	rejigger
재조정하다	(再調整) realign, rejig, retune
재조정하다	(再調整) renegotiate
재조정하다	(再調整) recondition
재조직	(再組織) NULL
재조판	recomposition
재조판하다	recompose
재조합	(再組合) recombinant DNA
재조합형	recombinant
재조회	countercheck
재종조모	(再從祖母) NULL
재종조부	(再從祖父) NULL
재주	ability,talent
재주 부릴 수 있는	performing
재주가 많은	versatile
재주넘기	somersault
재주문	reorder
재주문	repeat
재주있는	nimble
재주장	repetition
재주하다	recoin
재중	(在中) contained inside; used for letters, as "picture is inside"
재중고의	thirdhand
재중력복	Gsuit
재즈	Jazz
재즈 수법의 클래식 음악	third stream
재즈 연주	blowing
재즈 연주가	jazzman
재즈광=	hepster
재즈록	jazzrock
재즈식으로 하다	jazz
재즈식의	jazzy
재즈에 미친	hep
재즈연주	gig
재즈연주가	cat
재즈연주회	gig
재즈의	jazz
재즈의 가락이 안 맞는 음	clam
재즈의 일종	bebop
재즈통	cool cat
재즈팬	a cool cat, a hipster, a fan of jazz
재증류하다	cohobate
재지	(在地) NULL
재지원	reapplication
재지적	(在地的) NULL
재지층	(在地層) NULL
재직	(在職) NULL
재직권	(在職權) NULL
재직기간	incumbency
재직접심문	redirect examination
재진입의	reentrant
재질	(才質,材質) matter (opp, spirit, mind)
재질학	hylology
재집결지	rallying point
재집권	(再執權) NULL
재집합	reassemble
재차	(再次-) anew
재차 밟다	restamp
재차 진정시키다	resettle
재차의	return
재착수하다	restart
재창작	(再創作) NULL
재창조	(再創造) NULL
재채기	a sneeze, sneezing
재채기하다	to sneeze
재채혈	(再採血) NULL
재처리	(再處理) NULL
재처리 공장	reprocessing plant
재처리하다	(再處理) re-treat
재천 교회	church invisible
재천명	(再闡明) NULL
재촉	trying to finish your work quickly
재촉구	(再促求) NULL
재촉하다	bustle, expedite, guide, haste, hasten, impel, urge
재촌탈농	(在村脫農) NULL
재촬영	(再撮影) retake
재추신	post postscript
재출발	(再出發) NULL
재출발시키다	restart
재출발하다	(再出發) restart
재출현	reemergence
재출현하다	reemerge
재충	(再充) rebuilding (up)
재충전	recharge
재측량	resurvey
재측량하다	resurvey
재측정	(再測定) NULL
재치	(才致) esprit, present wit, savoir faire, tact
재침례	anabaptism
재침례파	anabaptist
재칼	jackal
재킷	jacket, slipcase
재타협	(再妥協) NULL
재탄생	(再誕生) a rebirth, being reborn
재탈환	(再奪還) NULL
재탐색하다	re-search
재탑재	reembarkation
재탕	(再湯) a hashup, readaptation, a rehash
재탕하다	(再湯) rehash
재택	(在宅) at home, in the house
재택근무	(在宅勤務) telecommuting
재테크	a savings/investment plan
재통과	repassage
재통일	(再統一) reintegrate
재통합	(再統合) NULL
재투성이	an ashtray
재투성이의	ashy
재투옥	recommittal
재투입	(再投入) NULL
재투자	(再投資) NULL
재투자하다	(再投資) reinvest
재투표	(再投票) NULL
재판	(裁判) A trial
재판 결석자	defaulter
재판 관할상의	jurisdictional
재판 기록의 부본	estreat
재판 연기의 배심평결	non liquet
재판개정기	lawterm
재판관	(裁判官) a court, the judiciary
재판관	(裁判官) a hakim, judge, a justice of the court
재판관 겸 시장	alcalde
재판관 에서	coram judice
재판관 집무실	chamber
재판관석	judgment seat
재판관의 신분	justiceship
재판관이 만든	judgemade
재판권	(裁判權) cognizance
재판권	(裁判權) jurisdiction
재판권 내에 있는	cognizable
재판되다	reprint
재판매 가격 유지	resale price maintenance
재판물	republication
재판밖의	extrajudicial
재판부	(裁判部) NULL
재판상의	juridical
재판석	(裁判席) NULL
재판소	(裁判所) courthouse (law court)
재판식	(裁判式) NULL
재판에 부쳐야할	committable
재판에 회부되어야 할	justiciable
재판장	(裁判長-) chief justice
재판정	(裁判廷) NULL
재판지	venue
재판하다	(裁判) to judge, to hear a case and make a decision
재판하다	(再版) reprint, republish
재편	(再編) reorganization, reshuffling
재편성	(再編成) re-formation
재편성되다	regroup
재편성하다	(再編成) re-form, realign, regroup, reorganize
재편입	(再編入) NULL
재편하다	(再編) to reorganize, reshuffle
재평가	(再評價) reappraisal
재평가	(再評價) revaluation
재평가하다	(再評價) reassess, revalue
재포장하다	resurface
재플리쉬	Japlish
재하	stockintrade
재학	(在學) To be in school, be attending school
재학생	(在學生) undergraduate
재학식삼장	(才學識三長) NULL
재할인	rediscount
재할인어음	rediscount
재할인율	discount rate
재할인율	rediscount rate
재할인하다	rediscount
재합동시키다	rejoin
재항고	(再抗告) NULL
재항변서	replication
재해	(災害) disaster, plague, suffering
재해석	(再解釋) NULL
재해직	(再解職) NULL
재향 군인 명부	honor roll
재향 군인의 날	veterans day
재향군인	reservist
재허가	readmission, readmittance
재현	(再現) re-creation, reappearance, recurrence, reproduction
재현된것	re-creation
재현부	recapitulation
재현부	reprise
재현상하다	redvelop
재현시키다	regenerate
재현하다	re-create, reenact, relive
재현하다	reappear
재협상	re-negotiating
재형	(財形) NULL
재형성	re-formation
재형저축	(財形貯蓄) NULL
재혼	(再婚) digamy
재혼	(再婚) remarriage
재혼시키다	remarry
재혼의	digamous
재혼자	deuterogamy
재혼자	digamist
재혼하다	(再婚) remarry
재혼하여	en secondes noces
재화	(財貨) wealth, financial resources
재화 중량 톤수	deadweight capacity
재확립	(再確立) NULL
재확인	(再確認) reaffirmation, reconfirmation
재확인하다	(再確認) doublecheck, reconfirm, revalidate
재활	(再活) bringing back to life, using again
재활성화	(再活性化) NULL
재활성화하다	(再活性化) reactivate
재활용	(再活用) Recycling
재활용품	A recycled product
재활원	(再活院) social services part of the govt that trains the handicapped
재활원장	(再活院長) NULL
재회	(再會) reunion, a second meeting
재회동	(再會同) NULL
재회부	recommittal
재회하다	(再會) rejoin
재휘	recalescence
재휘하다	recalesce
재흡수	reuptake
재흡수	resorption
재흥	instauration
잭	a jack
잭나이프	a jackknife
잴 수 없는	fathomless
잴 수 있는	measurable
잴수 없는	spanless
잴수 있는	fathomable
잼	confiture, jam
잼버리	jamboree
잽싸게  놓다	clap
잿물	leach, caustic soda, lye, potash
잿빛개구리매	hen harrier
쟁	(鐺) NULL
쟁기	plow
쟁기	drail
쟁기로 갈다	plow
쟁기로 갈다	furrow
쟁기자루	plowtail
쟁기질 하는 사람	plowman
쟁론	(爭論) contestation
쟁반	(錚盤) tray
쟁반	(錚盤) ice tray
쟁반	(錚盤) salver
쟁반같이 둥근 눈	saucer eyes
쟁송	contestation
쟁시증	scopophilia
쟁위	(爭委) NULL
쟁의	(爭議) conflict
쟁의권	(爭議權) NULL
쟁이	(suffix) sb who does sth a lot or has some special skill
쟁장	cold storage
쟁쟁	(錚錚) NULL
쟁쟁하게 울리는	rotund
쟁쟁하다	to be very special
쟁점	(爭點) contestation
쟁점이 되는	controversial
쟁점화	(爭點化) NULL
쟁취	(爭取) winning as a prize/reward
쟁취하다	(爭取) to win something
쟁탈전	(爭奪戰) a contest for, a fight for
쟁패	(爭覇) NULL
쟤	That kid
저	polite first person pronoun, me/I
저	Uh, well,  ...
저 곳에	there
저 부는사람	fifer
저 사람	that
저 산쪽의	ultramontane
저가	(低價) NULL
저가격	(低價格) NULL
저가품	(低價品) NULL
저간	(這間) NULL
저감	(低減) NULL
저개발	(低開發) underdevelopment
저거	That thing over there
저것	That thing over there
저게된	folding
저격	(狙擊) to snipe (that is what a sniper does)
저격당	(狙擊當) NULL
저격범	(狙擊犯) NULL
저격병	marksman, sharpshooter, sniper
저격하다	(狙擊) snipe
저고리	A coat, korean jacket
저곡가	(低穀價) NULL
저곳	That place over there
저공 비행	flyby
저공 폭격	skip bombing
저공비행	(低空飛行) NULL
저공해	(低公害) NULL
저교회파	Low Church
저교회파의 사람	Low Churchman
저궤도 인공 위성	satelloid
저금	(貯金) saving money, or the money saved
저금통	(貯金筒) a moneybox
저금통장	(貯金通帳) savings bankbook
저급	(低級) NULL
저급 소설의	grubstrret, G-
저급신문	gutter press
저급의	lowend
저급한	low
저기	“hey,look here,now”
저기	That place, there
저기압	(低氣壓) a depression, a low pressure area
저기압권	(低氣壓圈) NULL
저기압부	(低氣壓部) NULL
저기에	thither
저기에	yonder
저긴장으로	hypotonicity
저긴장의	hypotonic
저널리스트	journalist
저널리스트의	journalistic
저널리즘	journalism
저녁	Evening
저녁 식사	supper
저녁놀	afterglow, alpenglow, evening glow, sunglow
저녁때	Evening time
저녁때 해질녁	nightfall
저녁식사	tea
저녁식사 시간	suppertime
저녁야음	night
저녁에 나타나는	vespertine
저녁에 울리는 종	vesper
저녁에 지는	vespertine
저녁에 피는	vespertine
저녁인사	good evening
저녁종	curfew
저농산물	(低農産物) NULL
저농산품	(低農産品) NULL
저농약	(低農藥) NULL
저능	imbecile, imbecility
저능아	(低能兒) dunce
저능자	softhead
저단백	(低蛋白) NULL
저당	(抵當) hostage
저당	(抵當) mortgage, collateral, security
저당 잡히는 사람	pledgor
저당 잡히다	to pledge, put up as security for a loan
저당권	mortgage
저당권 설정자	mortgagor
저당권자	mortgagee
저당물	foreclosure
저당물	gage
저당에 넣다	hypothecate
저당잡히기저당잡아 , 저당잡히다	mortagage
저당잡히다	pawn
저당잡힘	mortgage
저돌성	(猪突性) impulsive, not thinking before acting, jumping first then looking
저돌적인	rough-and-ready, reckless
저두평신	(低頭平身) NULL
저라	haw
저락	degradation
저러다	Like that
저런	holy cripes, jeez, oh my
저런	Such a, that sort of
저렇게	Like that
저렇다	Such a thing as that
저력	(底力) potential energy
저력지재	(樗櫟之材) NULL
저렴	(低廉) NULL
저류	undercurrent
저류 심층	subcurrent
저류로서 흐르다	underrun
저류의 흐름과 반대로 흐르는	underset
저리	That place
저리 자금	cheap money
저리게하다	numb
저리게하다	benumb
저리다	to feel pins and needles, like when your leg falls asleep
저리의	cheap
저마다	Each one, everyone
저마다의	respective
저만	only me, just me
저만치	to that extent, to that degree
저만하다	to be so/such big
저면	(底面) underbody
저명	(著名) eminence, greatness
저명인사	(著名人士) a famous person
저명하다	(著名-) celebrated, notable, noted, prominent
저목수풀지대	chaparral
저문하다	(著聞) to be widely known
저물다	come to an end (a season, a period of time)
저물다	grow dark, get dark
저미다	chop, fillet
저민 돼지고기	porkburger
저민고기	fillet
저반	(底盤-) batholith
저버리다	betray, falsify, forsake
저벅저벅 밟다	crunch
저번	(這番) Last time, the other day
저변	(底邊) NULL
저변층	(底邊層) NULL
저비용	(低費用) NULL
저빙	ground ice
저산	hypoacidity
저산성	(低山性) NULL
저산소	(低酸素) NULL
저산소증	(低酸素症) NULL
저산소혈	hypoxemia
저산소혈의	hypoxemic
저상	(沮喪) NULL
저생산	underproduction
저서	(著書) NULL
저서가 많은	voluminous
저서명	topic
저서성	(底棲性) NULL
저성장	(低成長) NULL
저세상	future state
저세상	future life
저소득	(低所得) NULL
저소득의	lowincome
저소득자 의료 보조	medicaid
저소득층	(低所得層) the lower class, people of low income
저속	(低俗) rough stuff, sleaze
저속	(低速) slow speed
저속기어	a low gear
저속화	(低俗化) vulgarization
저수	(貯水) saving/storing water
저수량	(貯水量) pondage
저수입	of a low income
저수조	(貯水槽)  water put aside for in case of a fire
저수지	(貯水池) cistern(천연의 maybe), reservoir, tank
저수통	(貯水桶) a reservoir
저수하심	(低首下心) NULL
저술	(著述) pencraft
저술	(著述) writing
저술가	(著述家) bookmaker (특히 돈만을 목적으로 난작하는), scribe
저술업	authorship
저습지	swale
저승	the netherworld, the after life
저승에서	after death
저시청율의 프로	minority program
저압 타이어	balloon tire
저압용	lowtension
저압의	lowpressure
저액	(低額) NULL
저어	haw
저어	er
저어 나아가다	shove
저어나르다	row
저어지다	pull
저어지다	row
저열	(低劣) NULL
저열한	ignoble
저염	(低塩) low in salt
저영양	undernutrition
저예산	(低豫算) NULL
저오염	(低汚染) NULL
저온	(低溫) NULL
저온 고무	cold rubber
저온 살균	pasteurization
저온 생물학	cryobiology
저온 수술	cryosurgery
저온 유지 장치	cryostat
저온 유통 체계	cold chain
저온 전자 공학	cryoelectronics
저온 처리법	cold pack
저온 처리법으로 통조림하다	cold-pack
저온 펌프	cryopump
저온도계	cryometer
저온탐침	cryoprobe
저온학	cryogenics
저울	A balance
저울눈	weight
저울대	scalebeam
저울대보	needle
저울에 달다	weigh
저울의 접시	bowl
저울질하다	to weigh sth on a scale
저원가	landscape gardener
저위	(低位) NULL
저유소	(貯油所) NULL
저유지	(貯油地) NULL
저음	(低音) gravity
저음	(低音-) base
저음 가수	basso
저음 바이올린의 일종	gutbucket
저음 음전	bombardon
저음 자리표	F clef
저음 튜바	helicon
저음계	(低音階) NULL
저음부	secondo
저음부	basso
저음부 연주자	secondo
저음악기-저음의	bass
저음의	low
저음의	base
저음의 나팔통	tuba
저의	(底意) the underlying meaning
저인망	trawlnet
저인망	dragnet
저임	(低賃) NULL
저임금	(低賃金) NULL
저임금 노동의	sweated
저자	an old word for marketplace
저자	(著者) A writer,author
저자세	(低姿勢) being submissive
저작	authorship, writing
저작가	penman
저작가	bookmaker
저작권	(著作權) copyright
저작권 사용료	royalty
저작권 침해	piracy
저작권성	(著作權性) NULL
저작권으로 보호하다	copyright
저작권자	(著作權者) NULL
저작물	(著作物) NULL
저작물성	(著作物性) NULL
저작의	masticatory
저작자	the author
저작자임	authorship
저작하다	to write
저장	(貯藏) storage
저장	(貯藏) store (on the computer)
저장 땅굴	cache
저장 맥주	lager
저장 시렁	flake
저장고	(貯藏庫) warehouse, storage
저장기	(貯藏器) a cistern, a preservatory, a reservoir
저장되지 않은	uncured
저장맥주	lager (beer)
저장물	hoarding
저장물	cache
저장물자	supply
저장법	(貯藏法) NULL
저장성	(貯藏性) NULL
저장성으로	hypotonicity
저장성의	hypotonic
저장소	(貯藏所-) cache, depot, repository, reservoir, stockroom
저장실	store room
저장판	(貯藏板) NULL
저장품	stock
저장하다	(貯藏-) cache, hoard, preserve
저장할 수 있는	storable
저절로	Of itself, on its own accord
저절로 기록하다	register
저절로 울리다	cipher
저정용의	rowing
저조	(低調) NULL
저조선 부트 대륙붕 사이의	sublittoral
저조의	low
저조한	lowpressure
저조한	lowpitched
저주	(紵紬,詛呪) anathema, execration, imprecation, malediction
저주 받는 것	curse
저주 받은	cursed, unblessed
저주가	(低株價) NULL
저주받은	accursed, blasted, condemned, damned
저주받은 사람	execration
저주받은물건	anathema
저주받은상태	cursed
저주스러운	deuced
저주스러움	cursed
저주의	damnatory, execratory, maledictory
저주의 말	curse
저주의 말	execration
저주파	audio frequency, low frequency
저주파 전파 망원경	LOFT
저주파의	audio
저주하는	imprecatory
저주하는 말	cussword
저주하다	(紵紬,詛呪) curse, damn, execrate, imprecate
저주할	anathematic
저주할	cursed
저주함	doggone
저준위	(低準位) NULL
저지	(低地) low lying land
저지	(沮止-) arrest, check, deterrence, interception
저지	(English) a jersey
저지대	(低地帶) a low-lying, stable area 
저지르다	do,commit,spoil
저지방	(低脂肪) NULL
저지선	(沮止線) NULL
저지제	an arrestant
저지하다	(沮止) to arrest, interrupt, retard, hinder
저직화	regimentation
저질	(低質) illiberality
저질 술	rotgut
저질성	(低質性) NULL
저질의	lowgrade
저질의 적포도주	dago red
저질품	adulteration
저질화	(低質化) NULL
저쪽	Over there, in that direction
저쪽에	across, fro, thither
저쪽으로	thither
저쪽으로	fro
저쪽편에	beyond
저체온	hypothermia
저체온의	hypothermic
저체중아	(低體重兒) NULL
저촉	(抵觸) to be in conflict, interference with
저촉되다	clash
저축	(貯蓄) savings,saving
저축대부	S&L
저축률	(貯蓄率) NULL
저축성	(貯蓄性) NULL
저축액	(貯蓄額) NULL
저축은행	savings bank
저축채권	savings bond
저축하다	(貯蓄) store
저축하다	(貯蓄-) amass
저출력의	lowpowered
저침투압으로	hypotonicity
저침투압의	hypotonic
저칼로리의	lowcal
저탄	(貯炭) saving(storing up on) coal
저탄고	(貯炭庫) coal-bunker
저탄소	(低炭素) low-carbon
저택	(邸宅) dacha, hall, palais
저편	(-便) That side,direction
저평	(低平) NULL
저포	(紵布) NULL
저품질의 다이아몬드	bort
저하	(低下) deterioration, downslide, falloff of speed/level/ability
저하되다	to be debased, depressed, low
저하론	(低下論) NULL
저하시키다	bemean, debase, depress
저하제	(低下劑) NULL
저하하다	(低下) to decrease 
저학년	(低學年) NULL
저항	(抵抗) holding out against sth, opposition, resistance
저항 장치	resistor
저항 전류계	ohmammeter
저항 코일	resistance coil
저항감	resistance
저항권	(抵抗權) NULL
저항기	(抵抗器) resistor
저항라	(紵亢羅) NULL
저항력	(抵抗力) counterforce, resistance, resistivity
저항력이 있는	fast, resistant, -tent, resistive
저항방사열제	bolometer
저항상자	resistance box
저항선	(抵抗線) resistance level
저항성	resistibility
저항성의	resistive
저항온도계	resistance thermometer
저항자	sb who is being resistant, a resister
저항적	(抵抗的) NULL
저항하기 어려운	opposeless
저항하기 어려운	overpwoering
저항하다	(抵抗) fend off, oppose, repel, resist
저항하지 않는	resistless
저항할 수 없는	irresistible, overwhelming
저항할 수 있는	resistible
저항할 수 있음	resistibility
저해	(沮害) deprivation
저해	(沮害-) blockage
저해하는	baffling
저해하다	(沮害) to choke, deprive, impede
저혈당	hypoglycemia
저혈압	(低血壓) NULL
저혈압증	hypotension
저화시키다	invert
저효율	(低效率) NULL
저효율성	(低效率性) NULL
저희	We 
적	The time,the occasion,when
적	The enemy
적갈색	(赤褐色-) auburn, cinnamon, copper, mahogany
적갈색의	auburn, coppery, russet
적갈색의 사과	russet
적개심	(敵愾心-) antagonism
적게 신고하다	underrport
적게하다	lessen
적격	(適格) credential, eligibility, fitness
적격성	(適格性) NULL
적격의	wellformed
적격자	deserver, an eligible person
적경	right ascension
적공	(積功) NULL
적공담	(積功談) NULL
적교	suspension bridge
적구독설	(赤口毒舌) NULL
적구지병	(適口之餠) NULL
적국	(敵國) NULL
적군	(敵軍,赤軍) foe
적군	(敵軍,赤軍) Red Army
적군적함	enemy
적군파	(赤軍派) Red Army
적극	(積極) activity, positive engagement
적극성	(積極性) go-aheadativeness, gumption, positivity, push
적극적	(積極的) Positively engaging, actively
적극주의	(積極主義) go-aheadism, activism
적극화	(積極化) to make active
적금	(積金) installment savings
적금	(赤錦) NULL
적기	(敵旗,敵機,適期) red flag
적기가	red flag
적나라	(赤裸裸) NULL
적년누월	(積年累月) NULL
적다	Write down
적다	To be small, few in number
적당	(適當-) applicability, pertinency, relevance, -vancy, suitability
적당	(適當) moderation, appropriate for the circumstances
적당량	(適當量) NULL
적당치 않은	solecistic
적당하다	(適當-) To be appropriate
적당히	(適當-) suitable,proper
적대	antagonism, hostility, rivalry
적대감	(敵對感) NULL
적대국	(敵對國) NULL
적대력	opposability
적대시	(敵對視) NULL
적대심	ill blood
적대자	(敵對者-) antagonist
적대적	(敵對的) unfriendly, antagonistic
적대하다	(敵對-) antagonize
적도	(赤道) equator
적도 가까이	low
적도 기니	Equatorial Guinea
적도 이북	Micronesia
적도제	(赤道祭) NULL
적동광	cuprite
적동광	copper red
적듄 식물	mesophyte
적란운	(積亂雲) cumulonimbus
적란운	cumulonimbus
적량계	stactometer
적령기	(適齡期) of a suitable age
적록색맹	red-green blindness
적립	(積立) savings, stuff in storage, accumulation
적립금	(積立金) a fund, a reserve fund
적립하다	(積立) to accumulate
적막	(寂寞) silent and lonely
적막감	a feeling of a delicate, fine sentiment
적막하게	drearily
적막하다	lonely, deserted, desolate
적막한	reclusive
적면	erythrophobia
적멸	(寂滅) NULL
적멸감	(寂滅感) NULL
적멸보궁	(寂滅寶宮) NULL
적목질	heartwood
적목질	duramen
적반하장	(賊反荷杖) 적 (a thief or other low, despicable person) 반하 (to carry a cane around) 장 (a cane) -->> a bad person scolding (나무라다) a good person
적발	exposure, revelation (prosecution)
적발하다	expose, reveal
적백혈병	erythroleukemia
적법	(適法) justice
적법성	legality
적법의	rightful
적복	filled with happiness
적부	(適否-) advisability
적부심	(適否審) NULL
적분	(積分) integral
적분기	integrator
적분법인종적차별의 폐지	integration
적분의	integral
적분하다	(積分) integrate
적분학	integral calculus
적빈여세	(赤貧如洗) NULL
적산	(敵産) NULL
적삼	traditional korean jacket
적색	(敵色,赤色) red
적색 40호	Red No. 40
적색 거성	red giant
적색 공포증	erythrophobia
적색 목재	redwood
적색 분자 추방	red prige
적색 섬광신호	fusee
적색 황동	red brass
적색맹의	red-blind
적색의	red
적색테러	Red Terror
적색편이	red shift
적색함대	red
적색형	(赤色型) NULL
적선	(敵船) NULL
적선	(積善) NULL
적선여경	(積善餘慶) NULL
적선지구	red-light district
적설	snow
적설	red snow
적설량	(積雪量) NULL
적설초	cat's-foot
적성	(適性) Aptitude
적성 검사	tryout
적성 고용 실시 위원회	FEPC
적성 판별 검사	D, A, T,
적성국	(敵性國) NULL
적성단	Red Star
적성이 없는	inadequate
적성이 없는	inept
적셔지기가 쉬운	wettable
적소	(適所) niche
적소	(適所) position
적소성대	(積小成大) NULL
적송품	shipment
적송품	consignment
적수	(敵手) match, rival
적수계	stalagmometer
적수공권	(赤手空拳) NULL
적수병	red rust
적수성가	(赤手成家) NULL
적수성연	(積水成淵) NULL
적시	(摘示,適時) timeliness
적시기	soakage
적시는 사람	dipper
적시는 사람	wetter
적시는사람	steeper
적시다	moisten, saturate, soak
적시의	timely
적시타	(適時打) NULL
적신	(賊臣) a traitor
적신	(積薪) NULL
적신월사	the Red Crescent
적신지탄	(積薪之嘆) NULL
적신호	(赤信號) a red light
적실	(嫡室) the legitimate wife, as opposed to the one you have but are not married to
적실	(的實) accurate and precise
적실성	(適實性) precision, accuracy
적심	steep
적십자	Geneva cross
적십자 국제 위원회	International Committee of the Red Cross
적십자사	Red Cross
적악여앙	(積惡餘殃) NULL
적어놓다	record
적어도	At the least
적어두다	note
적어두다	notate
적어둠	notetaking
적어지다	To become smaller
적여구산	(積如邱山) NULL
적역	(適役) NULL
적연부동	(寂然不動) NULL
적열	red heat
적열취성의	red-short
적외 분광계	infrared spectrometer
적외선	(赤外線) heat rays
적외선	(赤外線) infrared radiation(rays)
적외선	(赤外線) infrared
적외선 검파기	infrared detector
적외선 조준기	sniprscope
적외선 천문 위성	IRAS
적외선 천재	irtron
적외선 투시 장치	snooperscope
적외선 필름	infrared film
적외선등	heat lamp
적외선의	ultrared
적외선의	infrared
적요	an abridgement, a resume, a summary, a synopsis
적요하다	abridge
적용	(適用) Application
적용되다	(適用-) To be applied
적용범위	coverage (area to which it is applied)
적용하다	(適用-) To apply (sth to sth else)
적우침주	(積羽沈舟) NULL
적운	cumulus
적운 모양의	cumuliform
적원심노	(積怨深怒) NULL
적위의 여각	codeclination
적으나마 성의있는 기부	mist1
적으로돌리다	antagonize
적응	(適應) Adaptation
적응감	(適應感) NULL
적응력	(適應力) NULL
적응성	(適應性) adaptability, applicability, flexibility
적응시키다	to accommodate, to adapt to
적응자	accommodator
적응적인	accommodative
적응증	indicant
적응하다	(適應-) to be suited to, adapted to
적의	(敵意,適宜) enmity, hard feelings, hostility
적의	(敵意,適宜) suitableness, appropriateness
적의 내침 탐색 경계망	warning net
적의 있는	hostile, inimical
적의가 있는	adverse
적의성	(敵意性) NULL
적일	(適日) NULL
적임	(適任) eligibility
적임의	eligible
적임의	qualified
적임이 아닌	unfit
적임이 아닌	unqualified
적임자	(適任者) the right man
적자	(赤字) a deficit, being in the red
적자국	(赤字國) NULL
적자생존	(適者生存) NULL
적자지심	(赤子之心) NULL
적잖다	a lot of
적장	(敵將) NULL
적장자	(嫡長子) NULL
적재	(積載) carrying, embarkation, lading
적재	(適材) an abstract of the long version
적재량	(積載量) carrying capacity, load
적재적소	(適材適所) the right person for the right job
적재하다	(積載,適材) load
적재함	(積載函) NULL
적적	(寂寂) NULL
적적하다	(寂寂~~) lonely, deserted, desolate
적적한	loris
적전	immediately in front of the enemy
적전	meeting and fighting with the enemy
적전 도망	bugout
적절	(適切-) applicability, aptness, fitness, relevance, -vancy
적절성	(適切性) the appropriateness
적절하다	(適切-) Appropriateness, relevance
적절히	(適切-) appositely, in a manner befitting
적정	(適正) titration, the right amount
적정 가격	fair price
적정 농도	titer
적정선	(適正線) NULL
적정성	(適正性) NULL
적정제	titrant
적정하다	(適正) titrate
적정화	(適正化) NULL
적조	red tide
적중	(的中) NULL
적중하다	(的中) hit
적중하지 않다	miss the  mark
적지	(適地) NULL
적지	(敵地) NULL
적지 않은	considerable
적지않게	considerably
적진	(敵陣) the enemy position or line
적진돌파	breakthrough
적진에서 탈출하다	exfiltrate
적채	(赤菜) NULL
적철과의 관목	miracle fruit
적철광	hematite
적철광의	hematitic
적체	(積滯) NULL
적출	(摘出) extraction
적출	(積出) to load goods for transport
적출	(嫡出) legitimacy (of children)
적출관문	(賊出關門) NULL
적출술	extirpation
적출하다	enucleate
적충류	Infusoria
적충류의	infusorian
적토마	(赤兎馬) NULL
